rok,miasto,nazwa,sentence,kategorie,tag
2018,Bydgoszcz,Budowa Tężni Solankowej,budowa,INFRASTRUKTURA,budowa
2018,Bydgoszcz,Zazieleniamy Kapuściska,zazieleniać,INFRASTRUKTURA,utwardzić
2018,Bydgoszcz,Przebudowa ulicy betoniarz,przebudowa betoniarz,INFRASTRUKTURA,przebudowa
2018,Bydgoszcz,Ścieżka rowerowa wzdłuż ulicy Chemicznej,rowerowy,INFRASTRUKTURA,rowerowy
2018,Bydgoszcz,Kreatywne Podwórko,kreatywny,SPOŁECZEŃSTWO,kreatywny
2018,Bydgoszcz,NaprawaWymiana chodnika,chodnik,INFRASTRUKTURA,chodnik
2018,Bydgoszcz,Remont chodników,remont chodnik,INFRASTRUKTURA,chodnik
2018,Bydgoszcz,Remont schodów łączących ul. Przodowników Pracy z Nowotoruńską,remont schody łączyć przodownik,INFRASTRUKTURA,schody
2018,Bydgoszcz,Remont chodników,remont chodnik,INFRASTRUKTURA,chodnik
2018,Bydgoszcz,Renowacja chodnika,renowacja chodnik,INFRASTRUKTURA,chodnik
2018,Bydgoszcz,Plac zabaw,plac zabawić,SPOŁECZEŃSTWO,zabawić
2018,Bydgoszcz,Fitness park,fitness park,SPOŁECZEŃSTWO,siłownia
2018,Bydgoszcz,Adaptacja części lasku na Kapuściskach na Park Leśny,adaptacja lasek,INFRASTRUKTURA,dostosować
2018,Bydgoszcz,Plac zabaw dla dzieci i elementy fitnes,plac zabawić dziecko elementy,SPOŁECZEŃSTWO,dziecko
2018,Bydgoszcz,Rozbudowa powstałego boiska przy Zespole Szkół nr ,rozbudowa powstały,INFRASTRUKTURA,rozbudowa
2018,Bydgoszcz,Matematyczne podwórko  gry chodnikowe dla dzieci przedszkolnych i szkolnych oraz ich opiekunów,matematyczny gra chodnikowy dziecko przedszkolny szkolny opiekun,SPOŁECZEŃSTWO,przedszkolny
2018,Bydgoszcz,Remont chodnika przy ul. Łukasiewicza ,remont chodnik,INFRASTRUKTURA,chodnik
2018,Bydgoszcz,Rewitalizacja parku przy ul. Noakowskiego,rewitalizacja park,INFRASTRUKTURA,rewitalizacja
2019,Bydgoszcz,Większe nie bezpieczeństwa na ogólnodostępnym terenie przy SP nr ,wielki,SPOŁECZEŃSTWO,dobry
2019,Bydgoszcz,Bydgoskie obchody Europejskiego Dnia Bez Samochodu   atrakcje ekologiczne dla dużych i małych,bydgoski obchód atrakcja ekologiczny,NATURA,ekologiczny
2019,Bydgoszcz,Bezpieczna nawierzchnia na placu zabaw przy Kossaka,bezpieczny nawierzchnia plac zabawić,INFRASTRUKTURA,nawierzchniasztuczny
2019,Bydgoszcz,Zlot zabytkowych autobusów,zlot zabytkowy autobus,INFRASTRUKTURA,autobusowy
2019,Bydgoszcz,Park Bydgoskiego Harcerstwa piękny i jasny.,park piękny jasny,NATURA,ogród
2019,Bydgoszcz,Zasadzenie drzew na ulicy Ujejskiego od Tucholskiej do Karpackiej,zasadzić,NATURA,nasadzić
2019,Bydgoszcz,Parking samochodowy z uwzględnieniem miejsc dla niepełnosprawnych,parking samochodowy uwzględnić niepełnosprawny,INFRASTRUKTURA,parkingowy
2019,Bydgoszcz,Autobus do historii,autobus historia,EDUKACJA,historia
2019,Bydgoszcz,FITNESS PARK  przy ul. Szarych Szeregów   ,fitness park szary,SPOŁECZEŃSTWO,siłownia
2019,Bydgoszcz,Budowa miejsc postojowych na ul.  Pułku Ułanów Wielkopolskich,budowa pułk,INFRASTRUKTURA,budowa
2019,Bydgoszcz,Fitness Park na terenie boiska sportowego Zespołu Szkół Spożywczych przy ul. Toruńskiej ,fitness sport toruński,SPOŁECZEŃSTWO,fitness
2019,Bydgoszcz,Ławeczka  Feliksa Stamma  wielkiego trenera.,ławeczka wielki trener,INFRASTRUKTURA,ławeczka
2019,Bydgoszcz,Plac zabaw wielopokoleniowy dla dużych i małych.,plac zabawić wielopokoleniowy,SPOŁECZEŃSTWO,skatepark
2019,Bydgoszcz,Rozbudowa placu zabaw pod górą szybowników.,rozbudowa plac zabawić góra szybownik,SPOŁECZEŃSTWO,skatepark
2019,Bydgoszcz,Tatrzańskie przyjazne właścicielom psa.,tatrzański właściciel pies,NATURA,pasać
2019,Bydgoszcz,Piękny Fordon  punkt widokowy na Górze Szybowników.,piękny widokowy,SPOŁECZEŃSTWO,dobry
2019,Bydgoszcz,Wymiana płyt chodnikowych przy ul. Czerkaskiej po obu stronach ulicy.,wymiana płyt chodnikowy czerkaski,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Kosze na śmieci,kosz,INFRASTRUKTURA,kosz
2019,Bydgoszcz,Szczęśliwe dziecko w Fordonie,szczęśliwy dziecko,SPOŁECZEŃSTWO,dziecko
2019,Bydgoszcz,Wycieczki po górkach fordońskich.,wycieczka górka,NATURA,wybieg
2019,Bydgoszcz,Postawienie ławek,postawić ławka,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Budowa pieszojezdni na ul. Chmurne.,budowa pieszojezdny chmurny,INFRASTRUKTURA,budowa
2019,Bydgoszcz,Ławki w Dolinie  stawów,ławka staw,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Budowa siłowni plenerowej przy ul. Nowodworskiej zlokalizowanej nad LO nr .,budowa siłownia nowodworski zlokalizować,SPOŁECZEŃSTWO,siłownia
2019,Bydgoszcz,Wymiana ławek w parku im. Harcerstwa Bydgoskiego oraz koszy na śmieci,wymiana ławka park kosz,NATURA,parkowy
2019,Bydgoszcz,Stacja roweru miejskiego,rower,INFRASTRUKTURA,rower
2019,Bydgoszcz,Postawienie ławek z koszami na śmieci,postawić ławka kosz,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Remont chodników,remont chodnik,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Budowa siłowni plenerowej przy Szkole Podstawowej nr  obok boiska Orlik,budowa siłownia,SPOŁECZEŃSTWO,siłownia
2019,Bydgoszcz,Park Kieszonkowy,park,NATURA,park
2019,Bydgoszcz,Dolina Śmierci  ścieżka dydaktyczna,dolina dydaktyczny,EDUKACJA,edukacyjny
2019,Bydgoszcz,Punkt widokowy,widokowy,INFRASTRUKTURA,spacerowy
2019,Bydgoszcz,Ogrodzenie miasteczka rowerowego przy Maratonie,ogrodzić rowerowy,INFRASTRUKTURA,rowerowy
2019,Bydgoszcz,Zasadzenie kilku drzew przy ławkach w miasteczku rowerowym i ławkach przy placu zabaw nad Balatonem,zasadzić ławka rowerowy ławka plac zabawić,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Projekt  plaża   Świat bez granic   Karaibskie wakacje na Okolu.,plaża granica wakacje,SPOŁECZEŃSTWO,wypoczynek
2019,Bydgoszcz,Mała architektura nad Starym Kanałem Bydgoskim,architektura,INFRASTRUKTURA,architektura
2019,Bydgoszcz,Ogród sensoryczny dla osób ze spektrum autyzmu,ogród osoba autyzm,NATURA,ogród
2019,Bydgoszcz,Wycieczki integracyjne dla mieszkańców osiedla osób starszych samotnych oraz dzieci,wycieczka integracyjny mieszkaniec osoba starszy samotny dziecko,SPOŁECZEŃSTWO,mieszkaniec
2019,Bydgoszcz,Łąka kwietna na Wyszyńskiego  na pasie zieleni pomiędzy jezdniami,łąka kwietny pas zielony jezdnia,NATURA,trawnik
2019,Bydgoszcz,Renowacja środkowej części schodów prowadzących od ul. świdwińskiego  do ul. Nowotoruńskiej,renowacja środkowy schody prowadzić świdwiński nowotoruński,INFRASTRUKTURA,remont
2019,Bydgoszcz,Doposażenie placu sportoworekreacyjnego w obrębie ulic Chmielna  Byszewska  Siedlecka,doposażyć plac sport,SPOŁECZEŃSTWO,sportowo
2019,Bydgoszcz,Sowiogórski festyn rodzinny z okazji dnia dziecka,sowiogórski festyn rodzinny okazja dziecko,SPOŁECZEŃSTWO,festiwal
2019,Bydgoszcz,Budowa nowoczesnego energooszczędnego oświetlenia nad Starym Kanałem Bydgoskim,budowa nowoczesny energooszczędny,SPOŁECZEŃSTWO,nowoczesny
2019,Bydgoszcz,Turniej badmintona dla uczniów bydgoskich szkół.,turniej badminton uczeń bydgoski,SPOŁECZEŃSTWO,koszykówka
2019,Bydgoszcz,lekkoatletyka dla każdegoogólnodostępna bieżnia dwutorowa wraz ze skocznią w dal.,lekkoatletyka bieżnia dwutorowy skocznia dal,SPOŁECZEŃSTWO,skatepark
2019,Bydgoszcz,Budowa miejsc parkingowych na ul. Lawinowej,budowa parkingowy lawinowy,INFRASTRUKTURA,parkingowy
2019,Bydgoszcz,Mobilne bramkikurtyny wodne mgiełki ochładzając dla przechodniów i mieszkańców Kapuścisk.  sztuk,mobilny wodny mgiełka ochładzać przechodzień mieszkaniec sztuk,SPOŁECZEŃSTWO,mieszkaniec
2019,Bydgoszcz, etap realizacji   Kreatywne Podwórko  uzupełnienie,realizacja,SPOŁECZEŃSTWO,realizacja
2019,Bydgoszcz,Budowadokończenie budowy chodnika wzdłuż ulicy Smoleńskiej na odcinku Równa  Żurawia.,budowa chodnik,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Kolejna odsłona biegu z przeszkodami dla dzieci Waleczne Dzieciaki,kolejny odsłona bieg przeszkoda dziecko,SPOŁECZEŃSTWO,dziecko
2019,Bydgoszcz,Utworzenie skweru osiedlowego  zieleńca osiedlowego,utworzyć skwer zieleniec,INFRASTRUKTURA,ogrodzić
2019,Bydgoszcz,Wymiana powierzchni chodnika.,wymiana powierzchnia chodnik,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Wymiana nawierzchni chodników.,wymiana nawierzchnia chodnik,INFRASTRUKTURA,nawierzchniasztuczny
2019,Bydgoszcz,renowacja ścieżki wraz z budową nowego oświetlenia,renowacja budowa,INFRASTRUKTURA,przebudowa
2019,Bydgoszcz,wymiana nawierzchni chodnika około m,wymiana nawierzchnia chodnik,INFRASTRUKTURA,nawierzchniasztuczny
2019,Bydgoszcz,Wymiana nawierzchni chodników,wymiana nawierzchnia chodnik,INFRASTRUKTURA,nawierzchniasztuczny
2019,Bydgoszcz,Wymiana nawierzchni chodnika,wymiana nawierzchnia chodnik,INFRASTRUKTURA,nawierzchniasztuczny
2019,Bydgoszcz,Monitoring,monitoring,INFRASTRUKTURA,monitoring
2019,Bydgoszcz,Ławki dla seniorów,ławka senior,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Skwer przy Młynie,skwer,NATURA,skwer
2019,Bydgoszcz,Wiata przystankowa daszek  przystanek  SaperówLudwikowo kierunek Błonie.,wiata przystankowy daszek przystanek,INFRASTRUKTURA,przystanek
2019,Bydgoszcz,Wymiana przystanków komunikacji publicznej na estetyczne.,wymiana przystanek komunikacja estetyczny,INFRASTRUKTURA,komunikacja
2019,Bydgoszcz,Teren aktywnej rekreacji i wypoczynku  Wiatrowy Młyn,aktywny rekreacja wypoczynek,SPOŁECZEŃSTWO,rekreacja
2019,Bydgoszcz,Festyn Rodzinny Śluzy ,festyn,SPOŁECZEŃSTWO,festyn
2019,Bydgoszcz,Trybuny na Stadionie ,trybuna,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Dokończenie finansowania budowy ul. Honorowej brukową kostką betonową,dokończyć finansować budowa honorowy brukowy kostka betonowy,INFRASTRUKTURA,budowa
2019,Bydgoszcz,Oświetlone Miasto  poprawa bezpieczeństwa Mieszkańców,oświetlić poprawa,INFRASTRUKTURA,oświetlić
2019,Bydgoszcz,Piknik rolny przy muzyce Country,piknik rolny muzyka,SPOŁECZEŃSTWO,piknik
2019,Bydgoszcz,Zwiększenie bezpieczeństwa pieszych na newralgicznym odcinku ul. Oprawie,zwiększyć pieszy newralgiczny oprawa,INFRASTRUKTURA,oświetlić
2019,Bydgoszcz,Usprawnienie komunikacji pieszej w rejonie ulic Łomżyńskiej i X.Dunikowskiego,komunikacja pieszy,INFRASTRUKTURA,komunikacja
2019,Bydgoszcz,Budowa chodnika w rejonie skweru Krzyżanowskiego  Wilka ,budowa chodnik skwer,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Remont ulicy Powstania Listopadowego,remont,INFRASTRUKTURA,remont
2019,Bydgoszcz,Komiks Ekologiczny Na płocie Sosa Nr  W Bydgoszczy przy Ul. Granicznej ,komiks płot graniczny,INFRASTRUKTURA,skrzyżować
2019,Bydgoszcz,Wakacje z Chemikiem  otwarte i bezpłatne treningi piłki nożnej dla dzieci,wakacje bezpłatny trening piłka nożny dziecko,SPOŁECZEŃSTWO,dziecko
2019,Bydgoszcz,Bydgoskie Tuszowanie  Quiz dla młodzieży i seniorów,bydgoski młodzież senior,SPOŁECZEŃSTWO,młodzież
2019,Bydgoszcz,Ścieżka pieszo  rowerowa nad Kanałem Bydgoskim nabrzeża wzdłuż ul. Spacerowej.,pieszo rowerowy spacerowy,INFRASTRUKTURA,rowerowy
2019,Bydgoszcz,Rewitalizacja ul. Skorupki  etap  obejmujący odcinek od ul. Żuławy do ul. Jordanowskiej,rewitalizacja skorupka obejmować żuława jordanowski,INFRASTRUKTURA,rewitalizacja
2019,Bydgoszcz,Utwardzony plac osiedlowy.,utwardzić plac,INFRASTRUKTURA,plac
2019,Bydgoszcz,Do zabaw gier tańców festynów i pikników nauki jazdy na rowerze itp.,zabawić gra tańce festyn piknik nauka jazda rower,SPOŁECZEŃSTWO,piknik
2019,Bydgoszcz,Kanał Kultura     koncerty nad Kanałem Bydgoskim. Muzyka. Śpiew. Taniec. Teatr.,kanał koncert muzyka śpiew taniec teatr,SPOŁECZEŃSTWO,koncert
2019,Bydgoszcz,Bohaterów Kragujevac  budowa zatok postojowych oraz chodnika pomiędzy marketem ALDI a szkołą,bohater budowa zatoka chodnik market,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Monitoring w rejonie Balatonu,monitoring,INFRASTRUKTURA,monitoring
2019,Bydgoszcz,Oświetlenie przejść dla pieszych na osiedlu,oświetlić pieszy,INFRASTRUKTURA,oświetlić
2019,Bydgoszcz,Bydgoski Festiwal Zero Waste,bydgoski,INFRASTRUKTURA,autobusowy
2019,Bydgoszcz,Poszerzenie przestrzeni dla pieszych na skrzyżowaniu NiemcewiczaPowstańców Wielkopolskich,poszerzyć pieszy,INFRASTRUKTURA,pieszy
2019,Bydgoszcz,zorganizowanie festynu na Dzień Dziecka na osiedlu WilczakJary,zorganizować festyn,SPOŁECZEŃSTWO,festyn
2019,Bydgoszcz,Obchody lecia włączenia Czyżkówka do Bydgoszczy   cykl imprez ogólnodostępnych,obchód włączyć impreza,SPOŁECZEŃSTWO,impreza
2019,Bydgoszcz,Lekcje obywatelskie dla bydgoszczan  cykliczne spotkania z wybitnymi Polakami,lekcja obywatelski bydgoszczanin spotkać wybitny,SPOŁECZEŃSTWO,uczeń
2019,Bydgoszcz,Rewitalizacja terenu w koło placu zabaw.,rewitalizacja plac zabawić,INFRASTRUKTURA,rewitalizacja
2019,Bydgoszcz,Mobilna trybuna na  miejsc dla obiektów sportowych przy ulicy Glinki .,mobilny trybuna sport,SPOŁECZEŃSTWO,sportowy
2019,Bydgoszcz,Nauka prawidłowego chodzenia Nordic Walking,nauka prawidłowy chodzić,EDUKACJA,uczyć
2019,Bydgoszcz,kynopark wybieg dla psów,wybieg pies,NATURA,pasać
2019,Bydgoszcz,Ławki na Miedzyniu,ławka,INFRASTRUKTURA,ławka
2019,Bydgoszcz,Skwarek wypoczynkowy pod Górkami,skwarek wypoczynkowy,SPOŁECZEŃSTWO,wypoczynek
2019,Bydgoszcz,Park kieszonkowy przy ulicy Byszewskiej.,park kieszonkowy,NATURA,parkowy
2019,Bydgoszcz,Ławeczka dla seniora,ławeczka seniora,INFRASTRUKTURA,ławeczka
2019,Bydgoszcz,Ok.  koszy na śmieci,kosz,INFRASTRUKTURA,kosz
2019,Bydgoszcz,Wybudowanie w ciągu ulicy Cmentarnej  progów zwalniających typu wyspowych.,wybudować próg zwalniać wyspowy,INFRASTRUKTURA,zwalniać
2019,Bydgoszcz,Wybudowanie miejsc parkingowych wzdłuż ulicy Xawerego Dunikowskiego łącznik z ul. Łomżyńską.,wybudować parkingowy łącznik łomżyński,INFRASTRUKTURA,parkingowy
2019,Bydgoszcz,Budowa miejsc parkingowych ul. Igrzyska,budowa parkingowy igrzyska,INFRASTRUKTURA,parking
2019,Bydgoszcz,Remont chodnika przy ul. Żołnierskiej,remont chodnik żołnierski,INFRASTRUKTURA,remont
2019,Bydgoszcz,Zakup  pojazdu strażackiego ratownictwa technicznego z funkcją gaśniczą dla SP Bydgoszcz  Fordon,zakup pojazd strażacki techniczny funkcja gaśniczy,INFRASTRUKTURA,zakup
2019,Bydgoszcz,Zagospodarowanie  Parku Mł.Olimpijczykow o m.in  ścieżkę zdrowia dla SeniorowJuniorow kontynuacja,zagospodarować,INFRASTRUKTURA,zagospodarować
2019,Bydgoszcz,Wypożyczalnia leżaków na Wyspie Młyńskiej.,wypożyczalnia leżak,INFRASTRUKTURA,ławeczka
2019,Bydgoszcz,Święto Latawca jako festyn rodzinny z elementami ekologicznymi patriotyczny i i bezpieczeństwem,festyn rodzinny ekologiczny patriotyczny,SPOŁECZEŃSTWO,rodzinny
2019,Bydgoszcz,Cykl  imprez wodnolądowych na Brdyujściu. Rowery wodne łodzie muzyka historia sportwypoczynek,impreza wodnolądowy rower wodny muzyka historia,NATURA,woda
2019,Bydgoszcz,Edukacja ekologiczna dla dorosłych,edukacja ekologiczny dorosły,EDUKACJA,edukacja
2019,Bydgoszcz,Wyświetlanie filmów czujnikiem nad Balatonem,wyświetlać film czujnik,SPOŁECZEŃSTWO,film
2019,Bydgoszcz,Modernizacja placu zabaw dla dzieci przy ulicy Krajeńskiej,modernizacja plac zabawić dziecko,INFRASTRUKTURA,modernizacja
2019,Bydgoszcz,Siłownia zewnętrzna  dwie ławki z oparciem.,siłownia ławka,SPOŁECZEŃSTWO,siłownia
2019,Bydgoszcz,Międzyosiedlowych festyn sportowo rekreacyjny Młodych Olimpijczyków i Dzień Dziecka na Sportowo,międzyosiedlowy festyn sport rekreacyjny,SPOŁECZEŃSTWO,rekreacyjny
2019,Bydgoszcz,Niedziela ze szlakiem Text.,niedziela szlak,INFRASTRUKTURA,chodnik
2019,Bydgoszcz,Poprawa bezpieczeństwa ruchu drogowego,poprawa ruch,SPOŁECZEŃSTWO,ruch
2019,Bydgoszcz,Gry i zabawy integracyjne oraz rozrywki sportowe dla dzieci i rodziców.,gra zabawa integracyjny rozrywka sport dziecko rodzic,SPOŁECZEŃSTWO,zabawić
2019,Bydgoszcz,Progi zwalniające,próg zwalniać,INFRASTRUKTURA,zwalniać
2019,Bydgoszcz,Tylko dance ma sens woj. przegląd form tanecznych osób z niepełnosprawnością intelektualną.,sens woj przegląd forma taneczny osoba niepełnosprawność intelektualny,SPOŁECZEŃSTWO,niepełnosprawny
2019,Bydgoszcz,Ogród społeczny ze ścieżką sensoryczną przy SP .,ogród społeczny,NATURA,ogród
2020,Bydgoszcz,Zwiększenie bezpieczeństwa pieszych na Górzyskowie  oświetlenie przejść dla pieszych,zwiększyć pieszy oświetlić pieszy,INFRASTRUKTURA,oświetlić
2020,Bydgoszcz,Zlot zabytkowych autobusów,zlot zabytkowy autobus,INFRASTRUKTURA,autobusowy
2020,Bydgoszcz,Modernizacja i rozbudowa placu zabaw na Wyspie Młyńskiej o nowe atrakcje,modernizacja rozbudowa plac zabawić atrakcja,INFRASTRUKTURA,modernizacja
2020,Bydgoszcz,Aktywne Górzyskowo  wsparcie aktywnego spędzania czasu w parku rekreacji przy ul. Kossaka,aktywny aktywny spędzać park rekreacja,SPOŁECZEŃSTWO,rekreacyjny
2020,Bydgoszcz,Remont chodnika przy SP nr   i wsparcie dla pozbawionego siedziby DK nr ,remont chodnik pozbawić siedziba dokonany,INFRASTRUKTURA,remont
2020,Bydgoszcz,Zwiększenie  bezpieczeństwa na ogólnodostępnych terenach na Błoniu  nowe lampy i kamery,zwiększyć lampa kamera,INFRASTRUKTURA,lampa
2020,Bydgoszcz,CoderDojo  Przeprowadzenie bezpłatnych warsztatów z programowania i druku D dla dzieci z rodzicami,bezpłatny warsztat programować druk dziecko rodzica,SPOŁECZEŃSTWO,dziecko
2020,Bydgoszcz,Budowa chodnika m obok Jaru Czynu Społecznego i rewitalizacja trasy pieszorowerowej na Jarze,budowa chodnik rewitalizacja tras pieszorowerowy,INFRASTRUKTURA,przebudowa
2020,Bydgoszcz,Przeniesienie skateparku z Szarych Sz. na boisko przy LO i organizacja PARKINGU w miejscu po nim,przenieść skatepark organizacja parking,SPOŁECZEŃSTWO,skatepark
2020,Bydgoszcz,Równe i bezpieczne chodniki na Skorupki,równy bezpieczny chodnik,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Wybieg dla psów.,wybieg pies,NATURA,pasać
2020,Bydgoszcz,Przebudowa pętli autobusowej Czyżkówko,przebudowa pętla autobusowy,INFRASTRUKTURA,autobusowy
2020,Bydgoszcz,Chodnik,chodnik,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Rewitalizacja nabrzeży Kanału Bydgoskiego przy ul. Spacerowej. Postawienie ławek wymiana trawnika.,rewitalizacja spacerowy postawić ławka wymiana trawnik,INFRASTRUKTURA,rewitalizacja
2020,Bydgoszcz,Remont ul. Na wzgórzu,remont,INFRASTRUKTURA,remont
2020,Bydgoszcz,Parkingi wraz z dojazdem do nieruchomości,parking dojazd nieruchomość,INFRASTRUKTURA,parkingowy
2020,Bydgoszcz,Budowa ścieżki rowerowej przez centrum Osiedla Leśnego  wzdłuż ulicy J. Sułkowskiego,budowa rowerowy,INFRASTRUKTURA,rowerowy
2020,Bydgoszcz,Budowa chodników na ul. Skrzynkowej Sielawowe oraz wokół stawu przy SP ,budowa chodnik skrzynkowy staw,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Inteligentne skrzyżowanie  sygnalizacją sterowaną pętlą indukcyjną,inteligentny sygnalizacja sterować pętla indukcyjny,INFRASTRUKTURA,sygnalizacja
2020,Bydgoszcz,Budowazaprojektowanie sięgacz ul Augustowskiej ,sięgacz,SPOŁECZEŃSTWO,czytelnik
2020,Bydgoszcz,wymiana chodnika na kostki bobrek przy bloku c. sklodowskiej  . wzdluz ul Baltyckiej,wymiana chodnik kostka bobrek cent,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Budowa ścieżki rowerowej przez centrum osiedla Leśnego ul. Sułkowskiego,budowa rowerowy,INFRASTRUKTURA,rowerowy
2020,Bydgoszcz,Kompletny remont chodników ul. Czerkaskiej,kompletny remont chodnik czerkaski,INFRASTRUKTURA,remont
2020,Bydgoszcz,Remont nawierzchni ul. Topolowej,remont nawierzchnia topolowy,INFRASTRUKTURA,nawierzchniasztuczny
2020,Bydgoszcz,Utwardzenie ulicy Żnińskiej nawierzchnią z płyt ażurowych,utwardzić nawierzchnia płyt ażurowy,INFRASTRUKTURA,nawierzchniasztuczny
2020,Bydgoszcz,Parking samochodowy na ul Betoniarz,parking samochodowy,INFRASTRUKTURA,parkingowy
2020,Bydgoszcz,Remont chodnika na ul. Wielorybiej odcinek od ul. Krajowej do ul. Szturmowej,remont chodnik wielorybi krajowy szturmowy,INFRASTRUKTURA,remont
2020,Bydgoszcz,Remont chodnika  na ul. Jackowskiego oraz na ul. Łokietka,remont chodnik łokietek,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Pumptrack na Bartodziejach  tor do jazdy na rowerach rolkach deskorolkach,tor jazda rower deskorolka,INFRASTRUKTURA,rowerzysta
2020,Bydgoszcz,Wybieg dla psów,wybieg pies,NATURA,pasać
2020,Bydgoszcz,Nowe chodniki na Kapuściskach II,chodnik,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Schody wraz podjazdemzjazdem dla wózków w północnej części nowowybudowanego węzła Szarych Szeregów,schody wózek nowowybudowany węzeł,INFRASTRUKTURA,schody
2020,Bydgoszcz,Boisko do siatkówki plażowej,siatkówka plażowy,SPOŁECZEŃSTWO,siatkówka
2020,Bydgoszcz,Mini park bajka,park bajka,NATURA,park
2020,Bydgoszcz,Wybieg dla psów,wybieg pies,NATURA,pasać
2020,Bydgoszcz,Założenie łąki świetnej i rewitalizacja Skweru im. Ludwika Zamenhofa,łąka świetny rewitalizacja ludwik,INFRASTRUKTURA,rewitalizacja
2020,Bydgoszcz,Naprawa Studzianek,naprawa,INFRASTRUKTURA,naprawa
2020,Bydgoszcz,Budowa chodnika przy ul. Powstańców Warszawy ,budowa chodnik powstaniec,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,Wymiana bruku,wymiana bruk,INFRASTRUKTURA,naprawa
2020,Bydgoszcz,Modernizacja pasa drogowego ul. Monte Cassino w Bydgoszczy przy Dolinie Śmierci.,modernizacja pasać Monte,INFRASTRUKTURA,modernizacja
2020,Bydgoszcz,Skate park,park,NATURA,park
2020,Bydgoszcz,Osiedlowa rekreacja,rekreacja,SPOŁECZEŃSTWO,rekreacja
2020,Bydgoszcz,Wybieg dla Psów,wybieg,NATURA,wybieg
2020,Bydgoszcz,Utwardzenie ulicy Rogalińskiej,utwardzić,INFRASTRUKTURA,utwardzić
2020,Bydgoszcz,Wyznaczenie sciezek spacerowych i rowerowych na granicach miasta,wyznaczyć spacerowy rowerowy granica,INFRASTRUKTURA,rowerzysta
2020,Bydgoszcz,Nowa nawierzchnia alejki  przy ul. Noakowskiego.,nawierzchnia alejka,INFRASTRUKTURA,nawierzchniasztuczny
2020,Bydgoszcz,Remont ul Wincentego Rogali,remont,INFRASTRUKTURA,remont
2020,Bydgoszcz,przebudowa skrzyżowania NakielskaDolinaUłańskaWrocławska,przebudowa skrzyżować,INFRASTRUKTURA,przebudowa
2020,Bydgoszcz,remont torowiska ul. Nakielska,remont nakielski,INFRASTRUKTURA,remont
2020,Bydgoszcz,Ścieżka tartanowa,tartanowy,NATURA,lęgowy
2020,Bydgoszcz,Utwardzenie boiska do koszykówki.,utwardzić koszykówka,SPOŁECZEŃSTWO,koszykówka
2020,Bydgoszcz,Nowe stanowiska postojowe oraz usprawnienie dotychczasowych PARKI  Pułku Piechoty Wlkp.,postojowy dotychczasowy park,INFRASTRUKTURA,parkingowy
2020,Bydgoszcz,Przedłużenie parkingu obok Szpitala Miejskiego ul. Hubalasamochody parkują w lesie,parking parkować las,INFRASTRUKTURA,parking
2020,Bydgoszcz,Rewitalizacja ulicy Piotra Skargi,rewitalizacja,INFRASTRUKTURA,rewitalizacja
2020,Bydgoszcz,Naprawa nawierzchni ulic na osiedlu Wzgórze Wolności,naprawa nawierzchnia,INFRASTRUKTURA,nawierzchniasztuczny
2020,Bydgoszcz,Utwardzanie ulicy Burzowej na Czyżkówku,utwardzać,INFRASTRUKTURA,utwardzić
2020,Bydgoszcz,Remont nawierzchni ulic osiedlowych,remont nawierzchnia,INFRASTRUKTURA,nawierzchniasztuczny
2020,Bydgoszcz,Wymiana chodników wzdłuż ulicy Ludwika Waryńskiego,wymiana chodnik,INFRASTRUKTURA,chodnik
2020,Bydgoszcz,modernizacja chodników i parkingów wzdłuż ul. Kijowskiej,modernizacja chodnik parking kijowski,INFRASTRUKTURA,parkingowy
2020,Bydgoszcz,Oświetlenie ulicy,oświetlić,INFRASTRUKTURA,oświetlić
2020,Bydgoszcz,Rodzinne miejsce nad Wisłą do grillowania wraz z niezbędna infrastrukturą,rodzinny grillować niezbędny infrastruktura,SPOŁECZEŃSTWO,rodzinny
2020,Bydgoszcz,Karuzela z piosenkami lat  tych  koncerty na Błoniu,karuzela piosenka koncert,SPOŁECZEŃSTWO,koncert
2020,Bydgoszcz,Brak koszenia zieleni z Uwagi na kryzys klimatyczny,kosić zielony kryzys klimatyczny,NATURA,ekologiczny
2020,Bydgoszcz,Utwardzenie ulic gruntowych,utwardzić gruntowy,INFRASTRUKTURA,nawierzchniasztuczny
